100, 100, 7.91
100, 250, 6.25
100, 500, 7.53
100, 750, 12.17
100, 1000, 10.52
100, 2500, 10.66
100, 5000, 9.84
100, 7500, 12.05
100, 10000, 11.94
100, 25000, 16.59
100, 50000, 23.26
100, 100000, 19.69
100, 250000, 18.55
100, 500000, 22.94
250, 250, 16.4
250, 500, 27.11
250, 750, 17.44
250, 1000, 20.88
250, 2500, 27.4
250, 5000, 34.39
250, 7500, 30.65
250, 10000, 38.35
250, 25000, 55.51
250, 50000, 58.9
250, 100000, 62.6
250, 250000, 62.49
250, 500000, 60.1
500, 500, 38.79
500, 750, 38.98
500, 1000, 40.32
500, 2500, 45.83
500, 5000, 53.23
500, 7500, 69.18
500, 10000, 61.66
500, 25000, 111.84
500, 50000, 147.34
500, 100000, 164.51
500, 250000, 180.81
500, 500000, 187.44
500, 1000000, 176.64
750, 750, 49.79
750, 1000, 70.05
750, 2500, 62.47
750, 5000, 71.53
750, 7500, 81.22
750, 10000, 92.97
750, 25000, 143.6
750, 50000, 197.18
750, 100000, 268.06
750, 250000, 376.99
750, 500000, 399.14
750, 1000000, 396.98
1000, 1000, 77.81
1000, 2500, 88.2
1000, 5000, 86.53
1000, 7500, 100.13
1000, 10000, 109.38
1000, 25000, 172.85
1000, 50000, 243.08
1000, 100000, 345.57
1000, 250000, 578.33
1000, 500000, 689.69
1000, 1000000, 756.61
2500, 2500, 149.74
2500, 5000, 198.5
2500, 7500, 224.29
2500, 10000, 240.54
2500, 25000, 343.16
2500, 50000, 498.28
2500, 100000, 782.57
2500, 250000, 1494.5
2500, 500000, 2496.7
2500, 1000000, 4151.07
2500, 2500000, 5945.53
5000, 5000, 326.37
5000, 7500, 413.46
5000, 10000, 432.25
5000, 25000, 603.6
5000, 50000, 818.25
5000, 100000, 1201.47
5000, 250000, 2473.56
5000, 500000, 4384.16
5000, 1000000, 8002.26
5000, 2500000, 14473.9
5000, 5000000, 21532.6
7500, 7500, 515.88
7500, 10000, 631.42
7500, 25000, 838.99
7500, 50000, 1129.36
7500, 100000, 1669.31
7500, 250000, 3473.06
7500, 500000, 5986.33
